,City,coords,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
60,port-gentil,"(-0.3975384124576067, 3.3406107124593802)",32,ga,1529947944,85,-0.72,8.78,80.04,10.98
61,mar del plata,"(-47.88538905768021, -53.1475610008908)",64,ar,1529947945,58,-46.43,-67.52,49.8,14
62,bredasdorp,"(-82.3025961182596, 26.867031198140694)",8,za,1529946000,82,-34.53,20.04,55.4,4.7
63,hamilton,"(26.903101954851195, -66.64356304470675)",20,bm,1529945700,70,32.3,-64.78,84.2,14.99
64,alghero,"(40.75063528322963, 6.29904375832777)",20,it,1529945400,65,40.56,8.32,77,9.17
65,hilo,"(21.064563505205456, -152.6346045080344)",90,us,1529945760,88,19.71,-155.08,73.4,5.82
67,wewak,"(-0.18697088785826566, 144.02619986177137)",32,pg,1529947953,100,-3.55,143.63,73.56,2.15
68,aksu,"(41.52682241800795, 81.2201881923948)",12,cn,1529947954,59,41.12,80.26,58.26,5.06
69,eregli,"(37.54560557270402, 33.715964786655576)",88,tr,1529947719,80,37.51,34.05,65.01,2.59
70,tiksi,"(75.33961074320808, 124.81179886889197)",80,ru,1529947956,92,71.64,128.87,32.16,15.68
72,ciudad bolivar,"(8.234926443298264, -63.49168663246856)",64,ve,1529947959,99,8.12,-63.55,80.94,7.07
73,plouzane,"(46.45260334724588, -5.783596161676314)",0,fr,1529946000,56,48.38,-4.62,80.6,16.11
74,gazli,"(41.24698206850954, 62.97199633432436)",0,uz,1529947961,21,40.13,63.45,80.94,10.09
75,whitehorse,"(60.92646611297039, -132.6252931097212)",75,ca,1529942400,62,60.72,-135.06,51.8,3.36
76,lukoyanov,"(54.906200122078985, 44.53729066667566)",32,ru,1529947963,52,55.03,44.48,77.16,3.94
77,iracoubo,"(12.57379586607503, -50.99525937896277)",76,gf,1529947965,81,5.48,-53.21,79.68,1.92
78,nabire,"(-3.523969817521703, 134.06147260005264)",92,id,1529947966,100,-3.36,135.5,66.63,2.04
79,ayagoz,"(48.64901195466226, 78.34759346856401)",24,kz,1529947967,59,47.96,80.43,63.21,4.94
80,atuona,"(7.577494461224205, -133.9725121140286)",100,pf,1529947968,100,-9.8,-139.03,76.44,18.59
81,ivrea,"(45.57349669729746, 7.7851690231344435)",20,it,1529945700,41,45.47,7.87,78.8,9.17
82,nizhnyaya poyma,"(55.98377474155325, 97.09046130051297)",0,ru,1529947971,68,56.16,97.2,66.99,4.5
83,port alfred,"(-72.35965281540203, 37.50587103738803)",36,za,1529947972,100,-33.59,26.89,60.33,3.71
84,saldanha,"(-41.934090556034526, -1.902220636893503)",0,za,1529946000,87,-33.01,17.94,57.2,5.82
85,newport,"(44.36884697806369, -124.98509781776974)",40,us,1529946900,50,41.49,-71.31,78.8,16.11
86,mahebourg,"(-50.61353795175502, 76.49868533573158)",75,mu,1529946000,64,-20.41,57.7,73.4,12.75
87,samarai,"(-13.273761758997423, 148.87562908944625)",92,pg,1529947977,100,-10.62,150.67,77.52,18.59
89,dongsheng,"(38.33847434177545, 109.03495603837854)",8,cn,1529947980,69,29.72,112.52,84.72,14
90,havre-saint-pierre,"(55.742349991637866, -62.979581334738825)",75,ca,1529946000,76,50.23,-63.6,53.6,11.41
91,hithadhoo,"(-11.729954007930715, 73.1817075057674)",12,mv,1529947982,100,-0.6,73.08,83.28,9.53
92,esperance,"(-38.26191662413209, 125.87963052441864)",20,au,1529947983,84,-33.86,121.89,41.16,8.52
93,bathsheba,"(12.948455367119166, -55.60079013325776)",20,bb,1529946000,66,13.22,-59.52,86,24.16
94,inhambane,"(-28.08334742747813, 37.59773476479006)",20,mz,1529946000,82,-23.87,35.38,64.4,6.62
95,qarqin,"(37.909375458826304, 65.94535755323966)",0,af,1529947987,22,37.41,66.03,84.81,13.22
96,mareeba,"(-16.340075208677078, 143.90362771066776)",90,au,1529946000,93,-16.99,145.42,66.2,8.05
97,innisfail,"(-17.9032894189897, 146.00495534392547)",92,au,1529947990,90,-17.52,146.03,63.75,5.73
98,faanui,"(-1.356775313392859, -153.37605677878298)",0,pf,1529947991,100,-16.48,-151.75,80.76,14
100,beringovskiy,"(52.39831453807096, 177.51921341828967)",76,ru,1529947993,100,63.05,179.32,42.06,6.73
101,hasaki,"(25.27276202603413, 155.64032934520833)",75,jp,1529944200,100,35.73,140.83,71.6,3.36
102,padang,"(-7.8776646675382125, 89.97962839764034)",76,id,1529947996,100,-0.92,100.36,84.18,5.5
104,lensk,"(60.32206258470512, 115.60956154341125)",68,ru,1529947998,78,60.71,114.91,61.68,2.15
105,kavieng,"(-0.42311953746687436, 149.7498277472908)",20,pg,1529947999,100,-2.57,150.8,82.2,10.42
106,miandrivazo,"(-18.65045545424931, 44.32285773710694)",20,mg,1529948001,79,-19.53,45.46,61.59,2.48
107,praia,"(10.669033577294442, -23.620070822828097)",20,cv,1529946000,48,14.92,-23.51,84.2,19.46
108,avarua,"(-34.20873941258726, -164.35523593299249)",75,ck,1529946000,94,-21.21,-159.78,73.4,1.12
109,nara,"(16.442048897578502, -7.528243789306174)",32,ml,1529948004,37,15.17,-7.29,95.88,18.14
110,changji,"(45.48214993319618, 87.95510853851493)",36,cn,1529948005,76,32.07,116.17,81.75,8.75
111,chuy,"(-56.86230078231918, -30.236625958442772)",0,uy,1529948007,77,-33.69,-53.46,55.02,10.42
112,galle,"(4.851936458786682, 78.43596220443214)",36,lk,1529948008,90,6.04,80.22,80.76,14
113,peniche,"(39.491393575029264, -11.227487514440668)",90,pt,1529946000,82,39.36,-9.38,78.8,8.05
115,manaus,"(-1.873158249386293, -60.37035676008641)",40,br,1529946000,70,-3.13,-59.98,86,4.7
116,borzya,"(49.88484249710953, 116.09830659595372)",56,ru,1529948013,83,50.39,116.53,57.81,4.38
117,bodden town,"(16.63456881170808, -80.61690011039713)",40,ky,1529946000,74,19.28,-81.25,87.8,13.87
118,dunedin,"(-52.68480233268397, 178.86573846918583)",92,nz,1529947760,100,-45.87,170.5,34.41,12.77
120,tasiilaq,"(80.18131330835541, -39.828378847529166)",40,gl,1529945400,86,65.61,-37.64,41,9.17
121,simcoe,"(42.75626822358214, -80.34580334495634)",75,ca,1529946000,49,42.84,-80.31,69.8,6.93
122,albany,"(-87.12133936902929, 113.02409379474119)",64,au,1529948020,70,-35.02,117.88,47.46,9.08
123,vanavara,"(61.193486092425275, 100.09996449396647)",0,ru,1529948022,86,60.35,102.28,66.54,2.37
124,kahului,"(35.994598426910684, -145.65526503710257)",40,us,1529945760,78,20.89,-156.47,75.2,13.87
125,lagoa,"(49.46464947025069, -27.48466568092266)",0,pt,1529946000,60,37.14,-8.45,75.2,17.22
127,los llanos de aridane,"(26.48670860084843, -23.64412127322072)",75,es,1529946000,69,28.66,-17.92,75.2,6.93
128,katsuura,"(30.247181441741063, 144.20864717114)",24,jp,1529948028,90,33.93,134.5,68.52,4.16
129,qasigiannguit,"(67.91825059096146, -51.916841043458874)",90,gl,1529945400,80,68.82,-51.19,35.6,8.05
130,new norfolk,"(-63.3812745572143, 131.93358739428362)",20,au,1529946000,87,-42.78,147.06,42.8,10.29
131,kosh-agach,"(49.38294568269899, 87.99293441341712)",64,ru,1529948031,37,49.99,88.66,54.57,4.16
132,acapulco,"(5.911734240251533, -105.09153675034092)",20,mx,1529945100,74,16.86,-99.88,86,8.05
133,gedo,"(9.221500637513628, 37.568751308344076)",80,et,1529948034,100,9.01,37.45,57.18,1.7
134,deputatskiy,"(72.79826598673637, 142.41549486289694)",92,ru,1529948035,100,69.3,139.9,39.27,10.2
135,te anau,"(-42.53775088558796, 166.0936787223302)",92,nz,1529948036,98,-45.41,167.72,33.6,4.61
136,yellowknife,"(73.4531002176087, -115.21406546420454)",90,ca,1529946000,76,62.45,-114.38,57.2,12.75
137,north bend,"(43.99755337921454, -126.19531600651104)",90,us,1529946900,93,43.41,-124.22,59,14.99
138,tadine,"(-21.113226528508974, 168.0155585440756)",88,nc,1529948040,100,-21.55,167.88,69.96,20.04
139,lompoc,"(33.89932284687397, -120.55673403731083)",90,us,1529945760,87,34.64,-120.46,66.2,5.82
141,luderitz,"(-26.22821213058382, 15.082286549998969)",0,na,1529948044,91,-26.65,15.16,55.56,16.02
142,lebu,"(-38.96184810649364, -80.23612638838978)",92,cl,1529948045,99,-37.62,-73.65,54.21,14.23
143,svetlaya,"(47.540395910521084, 139.22203108898663)",76,ru,1529948046,100,46.54,138.33,49.17,5.5
